iter	MultiClass
0	2.00437326
1	1.919537384
2	1.851802466
3	1.794390457
4	1.723567283
5	1.661503179
6	1.609271369
7	1.564894499
8	1.522611042
9	1.485240148
10	1.446211589
11	1.416636378
12	1.375370018
13	1.345118294
14	1.318518765
15	1.289100138
16	1.26273242
17	1.240953354
18	1.210433847
19	1.18155788
20	1.162619805
21	1.135426537
22	1.10701464
23	1.087668897
24	1.062586345
25	1.043153736
26	1.026571056
27	1.006092073
28	0.9905051389
29	0.9733620559
30	0.9591198542
31	0.9438994226
32	0.9268856159
33	0.9104813936
34	0.8973705176
35	0.8810569332
36	0.867605688
37	0.8546448711
38	0.8408928314
39	0.8266970013
40	0.8168228956
41	0.8064998067
42	0.7948555855
43	0.7843205981
44	0.7724629163
45	0.7621295003
46	0.7514938418
47	0.7410178973
48	0.7306755651
49	0.7196210788
50	0.7120866512
51	0.7022780846
52	0.6960960188
53	0.6862824275
54	0.6788308883
55	0.6704627166
56	0.6627582851
57	0.6544998129
58	0.645663355
59	0.6388439727
60	0.633268995
61	0.6274049657
62	0.6194844824
63	0.612055443
64	0.6043313595
65	0.5973208447
66	0.5886364924
67	0.5829801159
68	0.5795169187
69	0.5725270405
70	0.5663607629
71	0.5594699747
72	0.5549997219
73	0.5493127271
74	0.5450172174
75	0.5387355145
76	0.5327461799
77	0.5274838176
78	0.5222608619
79	0.5178456024
80	0.5119255271
81	0.5070249873
82	0.5002897647
83	0.4951403364
84	0.4897611378
85	0.4848147168
86	0.4802033223
87	0.4758137731
88	0.4714501825
89	0.4664438212
90	0.4628130546
91	0.4592665644
92	0.4535509757
93	0.4485578326
94	0.4445887718
95	0.440508144
96	0.4349058761
97	0.429503709
98	0.4244264202
99	0.4202104806
100	0.4158850724
101	0.4118141099
102	0.4062090809
103	0.4039112553
104	0.4002376613
105	0.3956305485
106	0.3918440325
107	0.3892320314
108	0.3863353746
109	0.3832868699
110	0.3796929783
111	0.3769363081
112	0.3728782126
113	0.3677309665
114	0.3641246821
115	0.361682065
116	0.3587762098
117	0.3556958191
118	0.3524528902
119	0.3485086342
120	0.3453583724
121	0.3421554513
122	0.3394904818
123	0.3363225788
124	0.3340895011
125	0.3315253855
126	0.3289144546
127	0.3253123231
128	0.3223807045
129	0.3191970008
130	0.3169906097
131	0.3152676942
132	0.3109761839
133	0.3091055374
134	0.3071147535
135	0.3042280988
136	0.3015669873
137	0.2990596382
138	0.2962485879
139	0.2945537415
140	0.2922517849
141	0.2903178208
142	0.2881318084
143	0.2858354829
144	0.2835698255
145	0.2817142112
146	0.2793921869
147	0.2772089932
148	0.2756441716
149	0.2729566145
150	0.2705801674
151	0.2689692284
152	0.2676324853
153	0.2659036472
154	0.2643863291
155	0.2628915313
156	0.2610103049
157	0.2600589193
158	0.2592366745
159	0.2574724018
160	0.2562767316
161	0.2542214328
162	0.2523298937
163	0.2510149849
164	0.2499411693
165	0.2473957902
166	0.2459260861
167	0.2445019736
168	0.2430071059
169	0.2417298722
170	0.2400859428
171	0.2382497401
172	0.2375913418
173	0.2365573683
174	0.2349066261
175	0.2332103754
176	0.2317648022
177	0.2303701316
178	0.229092441
179	0.2277872113
180	0.2259054688
181	0.2244145272
182	0.2228319775
183	0.2210540818
184	0.2200405086
185	0.2188897358
186	0.2176440598
187	0.216398666
188	0.2151120443
189	0.2138581256
190	0.2130149072
191	0.2119501844
192	0.2108087035
193	0.209052043
194	0.2082457865
195	0.2069645452
196	0.2057398561
197	0.2042800564
198	0.2030707066
199	0.2018419621
200	0.201250585
201	0.2005306145
202	0.1987493063
203	0.1974954271
204	0.1960523763
205	0.1948611828
206	0.1938848652
207	0.193348191
208	0.1924566849
209	0.1918410494
210	0.1909593409
211	0.1898512821
212	0.1886405543
213	0.1877048203
214	0.1867191144
215	0.1858022116
216	0.1848153828
217	0.1840790769
218	0.1836997348
219	0.1825477402
220	0.1813591799
221	0.1803095057
222	0.1791844493
223	0.1785272041
224	0.1779406195
225	0.1772635872
226	0.1765339729
227	0.1755669707
228	0.174767438
229	0.1744141535
230	0.1740609267
231	0.1732363353
232	0.1723886292
233	0.1714154408
234	0.1710757982
235	0.1703718755
236	0.1696009368
237	0.1684439853
238	0.1675968665
239	0.166931554
240	0.1664662355
241	0.1657130385
242	0.1647018189
243	0.1637713448
244	0.1630459627
245	0.1624653576
246	0.1614686452
247	0.1604514429
248	0.16003913
249	0.1594812352
250	0.1587836269
251	0.1580619901
252	0.1570194467
253	0.1562336961
254	0.1554709781
255	0.1550382131
256	0.1542378555
257	0.1537641784
258	0.153132813
259	0.1520897172
260	0.1514006511
261	0.1506869691
262	0.1503669799
263	0.1493655859
264	0.1489077958
265	0.1481230171
266	0.1475199291
267	0.1469192275
268	0.146151512
269	0.1452304981
270	0.1448376627
271	0.1444874514
272	0.1437444859
273	0.1431230427
274	0.1424917948
275	0.141817359
276	0.1412120539
277	0.1407642062
278	0.1401835577
279	0.1393275205
280	0.1388774652
281	0.1384546537
282	0.1378610251
283	0.1375571262
284	0.1372619402
285	0.1369307998
286	0.1364043294
287	0.1359607107
288	0.1353481636
289	0.1351356298
290	0.1342014923
291	0.1336957835
292	0.1330259794
293	0.1324693787
294	0.1319336158
295	0.13140049
296	0.130865461
297	0.1303911714
298	0.1300038378
299	0.1295612189
300	0.1292133445
301	0.1289830045
302	0.1288216464
303	0.128517179
304	0.1281914766
305	0.1277251273
306	0.1274433566
307	0.1268048997
308	0.1262071902
309	0.1258341343
310	0.125361052
311	0.1249573928
312	0.1246654749
313	0.124038869
314	0.1237993156
315	0.1233447777
316	0.122805934
317	0.1223018731
318	0.12184372
319	0.1213511745
320	0.1207248734
321	0.1205800425
322	0.1202144536
323	0.1197176505
324	0.119251473
325	0.1190377448
326	0.1186708546
327	0.1181545462
328	0.1177292521
329	0.1175213757
330	0.1169915098
331	0.1167361477
332	0.1162880141
333	0.1158899932
334	0.1154248643
335	0.1150036722
336	0.1145521466
337	0.1142047922
338	0.113800407
339	0.1136370318
340	0.1132534568
341	0.1126510904
342	0.1122126806
343	0.1118350644
344	0.1114755507
345	0.1110732686
346	0.1108377111
347	0.1104348198
348	0.1101039504
349	0.1097221887
350	0.1095121573
351	0.1091584316
352	0.1084808066
353	0.1080862504
354	0.1078919003
355	0.1073771359
356	0.1070584189
357	0.1066722984
358	0.1063443041
359	0.1058609329
360	0.1055025456
361	0.1053149558
362	0.1048218137
363	0.1043213756
364	0.1040197527
365	0.1035790553
366	0.1030673543
367	0.1025826764
368	0.1022388193
369	0.1018257905
370	0.1016656263
371	0.1014897084
372	0.1010227153
373	0.1005757883
374	0.1003508919
375	0.1001798837
376	0.09973696974
377	0.09935468852
378	0.09906924037
379	0.09871293461
380	0.098434024
381	0.09808259714
382	0.09791515723
383	0.09747429949
384	0.09720542731
385	0.09686751705
386	0.09653135346
387	0.09616138627
388	0.09598328581
389	0.09577001763
390	0.0954882967
391	0.09507741588
392	0.09473970453
393	0.09455112082
394	0.09428123558
395	0.09403416339
396	0.0938341019
397	0.09369717661
398	0.09338800011
399	0.09306650527
400	0.09288481415
401	0.09261656315
402	0.09230251421
403	0.09196354634
404	0.09165723471
405	0.09134399815
406	0.09098767433
407	0.09080415387
408	0.09065983343
409	0.09047198123
410	0.09035481812
411	0.09001214668
412	0.08974714744
413	0.08953194346
414	0.08937995112
415	0.08900552162
416	0.08882128141
417	0.08865658279
418	0.08837304957
419	0.0882621274
420	0.08804259396
421	0.08764926768
422	0.08743542167
423	0.08721767004
424	0.08686146714
425	0.086556441
426	0.08625990154
427	0.08596349547
428	0.0857353124
429	0.08541723589
430	0.08508558991
431	0.08496142622
432	0.08482728052
433	0.08461000609
434	0.08438316467
435	0.0842343688
436	0.08405629705
437	0.083829928
438	0.08348227945
439	0.08326099763
440	0.08304561768
441	0.08280149975
442	0.08263703975
443	0.08239188656
444	0.082171142
445	0.08181298038
446	0.0815273047
447	0.08123866023
448	0.08111935285
449	0.08090669448
450	0.08075851306
451	0.08067683025
452	0.08050538509
453	0.08027205598
454	0.0800321697
455	0.07989554385
456	0.07971385213
457	0.07954772848
458	0.07933344084
459	0.07921867509
460	0.07901021137
461	0.0787340299
462	0.07854013231
463	0.07831571011
464	0.07820766743
465	0.0780056835
466	0.07780720557
467	0.07762040989
468	0.07737608879
469	0.07715996898
470	0.07700189086
471	0.07688229253
472	0.07654658295
473	0.07629387042
474	0.07600524637
475	0.0756577317
476	0.07537860827
477	0.07515699157
478	0.07497622211
479	0.0748001532
480	0.07466997385
481	0.07458140905
482	0.07436208636
483	0.07421317997
484	0.0740923739
485	0.07385377021
486	0.0736178332
487	0.07353228424
488	0.07344583207
489	0.07336405857
490	0.07312252854
491	0.07288058822
492	0.07273431942
493	0.07257657096
494	0.07231757814
495	0.07217269206
496	0.07197449535
497	0.07186154621
498	0.07163767907
499	0.07153160144
500	0.07130211827
501	0.07112061512
502	0.07100086574
503	0.07074070811
504	0.07059576091
505	0.07045581441
506	0.07032203871
507	0.07020179991
508	0.07004636267
509	0.06985096928
510	0.06966364204
511	0.06960567164
512	0.06945038418
513	0.06924807971
514	0.06903325061
515	0.06881430077
516	0.06865883765
517	0.06841147677
518	0.06829587746
519	0.06813387532
520	0.06803991176
521	0.067867429
522	0.0677708755
523	0.06764541846
524	0.06748542643
525	0.06737612261
526	0.06732621269
527	0.06714607261
528	0.0669442726
529	0.06678871158
530	0.06666841679
531	0.06652179518
532	0.06641217713
533	0.06628207793
534	0.06608120894
535	0.06596824753
536	0.06579526642
537	0.06564068563
538	0.06551653502
539	0.06532754059
540	0.06519821392
541	0.06505919659
542	0.06492590976
543	0.06477779281
544	0.06465500862
545	0.06457390909
546	0.06444778377
547	0.06433866472
548	0.06420445635
549	0.06406440112
550	0.06396016879
551	0.06381899781
552	0.06371233815
553	0.06361246644
554	0.06355166395
555	0.06342795229
556	0.06329455916
557	0.06314063296
558	0.0630444279
559	0.06283104785
560	0.06259094782
561	0.0623816537
562	0.06228796097
563	0.06211027043
564	0.06196564606
565	0.0618019161
566	0.06167404521
567	0.06161875428
568	0.06146438796
569	0.06136049369
570	0.06127817106
571	0.06109141838
572	0.06093038656
573	0.06080096558
574	0.06070051201
575	0.0604780565
576	0.06038326957
577	0.06023298652
578	0.06010542184
579	0.05999167262
580	0.05983092719
581	0.05976287387
582	0.0596833115
583	0.0595671985
584	0.05941318695
585	0.05923268919
586	0.05907164892
587	0.05892379361
588	0.05879396349
589	0.05858749558
590	0.05851659752
591	0.05837909192
592	0.05825145045
593	0.05808919314
594	0.05795969265
595	0.05787289723
596	0.05769316918
597	0.05753148335
598	0.05741098513
599	0.05730432846
600	0.05722512421
601	0.05714751261
602	0.05709410496
603	0.05695774369
604	0.05683644214
605	0.05679438039
606	0.056707006
607	0.05655505108
608	0.05639636519
609	0.05632044864
610	0.05623517871
611	0.05611623252
612	0.0559995258
613	0.05587236605
614	0.05572188
615	0.05561339128
616	0.05550981743
617	0.05533698803
618	0.05525032449
619	0.05513542999
620	0.05502728124
621	0.05490683663
622	0.05484154338
623	0.05478439033
624	0.05464857006
625	0.05453273865
626	0.05438936843
627	0.0542999623
628	0.05423342115
629	0.05411942146
630	0.0540503964
631	0.0539327156
632	0.05385578156
633	0.05377157573
634	0.05363569725
635	0.05359112369
636	0.05353402806
637	0.05345328927
638	0.05338896159
639	0.05333756744
640	0.05320092246
641	0.05311522315
642	0.05306210396
643	0.05297117835
644	0.0528621404
645	0.05276306461
646	0.05265288517
647	0.05260263415
648	0.05250196571
649	0.05236840788
650	0.05230329122
651	0.0521747301
652	0.05211048362
653	0.05204681857
654	0.05197307285
655	0.05186521072
656	0.05179312778
657	0.05168354409
658	0.05159681114
659	0.05153635696
660	0.05145447626
661	0.05135345358
662	0.05124457204
663	0.0511625504
664	0.05109834674
665	0.05100584662
666	0.05094635543
667	0.05088368492
668	0.05081447317
669	0.05074469958
670	0.05065558465
671	0.05050605245
672	0.05041463225
673	0.0503621776
674	0.05030825749
675	0.05024055829
676	0.0501602035
677	0.05005012388
678	0.0499700317
679	0.04993694334
680	0.04984843758
681	0.0497532719
682	0.04964515211
683	0.04957556895
684	0.04948800968
685	0.04938480714
686	0.04928318562
687	0.049219574
688	0.04915754964
689	0.04908055855
690	0.04897672601
691	0.04891925611
692	0.04884875199
693	0.0487485586
694	0.04869760329
695	0.04861647325
696	0.04853703549
697	0.04848738608
698	0.04843202478
699	0.04835849591
700	0.04832097073
701	0.04824181526
702	0.04818035905
703	0.04814583093
704	0.04807840028
705	0.04796091743
706	0.0478864481
707	0.04776584844
708	0.04769392143
709	0.04761635985
710	0.04753660133
711	0.04750409386
712	0.04738454648
713	0.04734808269
714	0.04723620628
715	0.04713221103
716	0.04706328382
717	0.04696742485
718	0.04689518344
719	0.0468256399
720	0.04678229036
721	0.04670621694
722	0.04665921305
723	0.04654707
724	0.04647639307
725	0.04643678432
726	0.04637580695
727	0.04628200799
728	0.04621389398
729	0.04613529146
730	0.04609936758
731	0.04602255853
732	0.04587925547
733	0.04578516257
734	0.04573549729
735	0.04569769222
736	0.04565061121
737	0.04562269507
738	0.04550213712
739	0.04543863952
740	0.04533888739
741	0.04528578126
742	0.04521500403
743	0.04511273615
744	0.04500425665
745	0.04490213411
746	0.0448075218
747	0.04472782923
748	0.04463634275
749	0.04458659069
750	0.04445539662
751	0.04437128722
752	0.04432679202
753	0.04428910184
754	0.04421418975
755	0.04413846075
756	0.04408545808
757	0.04403120501
758	0.04397223277
759	0.04391008192
760	0.04384215945
761	0.04374707881
762	0.04369319455
763	0.04366046199
764	0.04359779902
765	0.04352499918
766	0.04347516802
767	0.0434492744
768	0.04338257293
769	0.04333774928
770	0.04326129725
771	0.04318431533
772	0.04311891122
773	0.04303680749
774	0.04301006102
775	0.04291385758
776	0.04283832172
777	0.04278308053
778	0.04270120576
779	0.04264673026
780	0.04259366637
781	0.04256307948
782	0.04248095013
783	0.0424497851
784	0.0424089897
785	0.0423348091
786	0.04228956016
787	0.04224210149
788	0.04219125901
789	0.04209935548
790	0.04203448564
791	0.04197148226
792	0.04190708553
793	0.04186292792
794	0.04183901081
795	0.04170925327
796	0.0416621171
797	0.04162695656
798	0.04160584906
799	0.04154364405
800	0.04146713366
801	0.04140231808
802	0.04135200735
803	0.04127535146
804	0.04118286972
805	0.04109715025
806	0.04105012461
807	0.04102196659
808	0.04094973814
809	0.04089216325
810	0.04084311153
811	0.04081346839
812	0.04073951526
813	0.04068270834
814	0.04064337275
815	0.04057018204
816	0.04052441298
817	0.0404405662
818	0.04036751459
819	0.04032152144
820	0.04025408138
821	0.04016875724
822	0.04013045288
823	0.04007238409
824	0.04000272599
825	0.03996274776
826	0.03987488573
827	0.03979721847
828	0.03975600081
829	0.03970669089
830	0.03961414462
831	0.03951801203
832	0.03944956878
833	0.03938995376
834	0.03929562422
835	0.03921105577
836	0.03914797962
837	0.03909375072
838	0.03902416765
839	0.03896126273
840	0.03890905701
841	0.03886309041
842	0.03880583574
843	0.03876468301
844	0.03869951698
845	0.0386320479
846	0.03859086058
847	0.03851513632
848	0.03843733031
849	0.03840728561
850	0.03834018781
851	0.03829044567
852	0.03825781231
853	0.03821796533
854	0.03818480224
855	0.0380758715
856	0.03801748115
857	0.0379493768
858	0.03789764276
859	0.03784165142
860	0.03779898881
861	0.0377589252
862	0.03770053474
863	0.03765494123
864	0.03760969619
865	0.03756371951
866	0.03750175745
867	0.03742298879
868	0.03736104267
869	0.0372907402
870	0.03721806457
871	0.03715169034
872	0.03710348445
873	0.03706149499
874	0.03701140407
875	0.0369500602
876	0.03688825008
877	0.03678644991
878	0.03671483163
879	0.03665188591
880	0.03661795517
881	0.03659110267
882	0.03651263773
883	0.03646118837
884	0.03638858495
885	0.03636442742
886	0.03630167035
887	0.03625292227
888	0.03621585427
889	0.03618163348
890	0.03614199503
891	0.03609501282
892	0.03603669021
893	0.03599669618
894	0.0359265419
895	0.035883807
896	0.03583780109
897	0.03580141683
898	0.03577641832
899	0.03572457492
900	0.03565724702
901	0.03561992317
902	0.03556874131
903	0.03552338439
904	0.03546580593
905	0.03544891902
906	0.03537868867
907	0.03535116751
908	0.03533427832
909	0.03528683771
910	0.03527510385
911	0.03523063873
912	0.03518072846
913	0.03512984046
914	0.03508938686
915	0.03503738078
916	0.03498606522
917	0.03495203755
918	0.03489923734
919	0.03487610588
920	0.03483985329
921	0.03480924396
922	0.03475457487
923	0.03470402107
924	0.0346636945
925	0.03461907508
926	0.03457892914
927	0.03455402632
928	0.03452010644
929	0.03445764958
930	0.03442106575
931	0.03439322859
932	0.03436866238
933	0.03431106261
934	0.03423278825
935	0.03419413465
936	0.03415621006
937	0.03409553421
938	0.03406226223
939	0.03399072899
940	0.03396028418
941	0.03393332045
942	0.03389694073
943	0.03383958762
944	0.03381008223
945	0.03374560348
946	0.03370003048
947	0.0336642504
948	0.033636798
949	0.03359114557
950	0.03355130827
951	0.03351052067
952	0.0334715011
953	0.03342293559
954	0.03338041615
955	0.03335544632
956	0.03333012115
957	0.03329431836
958	0.0332332362
959	0.03319896686
960	0.03315875869
961	0.03312825281
962	0.03306105188
963	0.03301773679
964	0.03298111313
965	0.03291505909
966	0.03286812027
967	0.03281667809
968	0.03277708075
969	0.03273924837
970	0.03270567411
971	0.03267256672
972	0.03263497579
973	0.03260627082
974	0.0325725638
975	0.03253064666
976	0.03246709133
977	0.03241571306
978	0.03237665686
979	0.03234457586
980	0.03228911076
981	0.03226067302
982	0.03221749143
983	0.032175985
984	0.03212711289
985	0.03206585986
986	0.03204707575
987	0.03199399265
988	0.03196873726
989	0.03192210811
990	0.03188729187
991	0.03186551157
992	0.03181631804
993	0.03177597316
994	0.03173777898
995	0.03169827319
996	0.03167604172
997	0.03164591749
998	0.03161259449
999	0.03158552367
