Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class
16.47,0.35,25.4,1.48,20.2,1.83,40,450,1
16.94,0.3,25.3,1.28,17.06,0.92,40,450,1
14.33,0.54,53.85,4.17,20.76,9505.88,40,450,1
14.26,0.54,50.12,3.83,24.08,7801.2,40,450,1
14.58,0.54,48.6,3.81,25.12,8838.81,40,450,1
14.66,0.51,45.25,3.38,31.27,2926.67,40,450,1
13.92,0.43,47.6,2.88,8.04,108.38,40,450,1
14.52,0.45,59.65,3.87,6.47,9716.24,40,450,1
14.39,0.55,68.13,5.41,3.88,18432.61,40,500,1
14,0.51,65.49,4.69,4.61,4089.75,40,500,1
13.77,0.48,67.14,4.39,4.5,6129.2,40,500,1
12.54,0.43,58.07,3.14,5.03,858.65,40,500,1
14.54,0.57,78.11,6.46,2.79,3248948,40,500,1
14.54,0.56,76.07,6.23,3.03,31612.66,40,500,1
14.48,0.57,78.21,6.45,2.81,65893.63,40,500,1
13.56,0.48,53.46,3.48,5.34,190.03,40,500,1
14.67,0.49,67.91,4.85,3.79,49536.2,40,550,1
14.63,0.51,69.54,5.23,3.66,12545.02,40,550,1
14.78,0.52,69,5.25,3.69,60393.21,40,550,1
14.61,0.49,67.92,4.85,3.9,21310.39,40,550,1
14.09,0.38,48.39,2.61,6.84,140.98,40,550,1
14.42,0.46,67.46,4.45,3.52,5925.49,40,550,1
14.2,0.45,66.78,4.24,3.63,4131.67,40,550,1
14.18,0.45,63.69,4.08,5.29,4327.76,40,550,1
14.36,0.57,78.34,6.41,2.72,104744.9,40,600,1
14.35,0.55,74.61,5.93,2.96,17739.8,40,600,1
14.32,0.55,75.76,6,2.87,17605.99,40,600,1
13.78,0.52,69.1,4.97,3.02,1758.23,40,600,1
14.49,0.57,78.71,6.55,2.52,42574.2,40,600,1
14.33,0.57,78.61,6.44,2.71,17067.44,40,600,1
14.3,0.57,78.58,6.4,2.64,66796.54,40,600,1
13.88,0.54,53.88,4.06,26.62,4195.96,40,600,1
14.89,0.38,55.77,3.2,6.28,2922.32,40,650,1
14.97,0.57,70.96,6.01,4.57,60764.11,40,650,1
14.99,0.57,72.9,6.21,3.95,28829.6,40,650,1
14.98,0.55,65.97,5.41,4.81,8152.23,40,650,1
14.81,0.56,73.05,6.01,3.5,14950.86,40,650,1
14.92,0.55,70.26,5.8,4.14,15938.88,40,650,1
14.89,0.57,73.72,6.24,5.44,635832.7,40,650,1
14.81,0.55,74.65,6.12,3.6,16942.57,40,650,1
13.09,0.38,26.64,1.33,24.77,7.36,40,700,1
13.16,0.2,39.07,1.05,7.61,43.01,40,700,1
12.03,0.51,71.29,4.4,3.5,4335.99,40,700,1
11.44,0.51,75.68,4.42,3.46,5765.54,40,700,1
11.64,0.55,75.67,4.86,3.66,22792.24,40,600,1
11.6,0.55,74.5,4.77,4.46,17311.36,40,600,1
11.67,0.56,75.99,4.92,3.95,30102.4,40,600,1
11.63,0.55,75.84,4.89,4.09,34005,40,600,1
11.6,0.55,74.08,4.76,5.12,33046.35,40,600,1
11.55,0.56,29.84,1.91,73.7,595.65,40,600,1
11.6,0.56,75.59,4.89,4.23,48797.9,40,600,1
11.61,0.56,76.39,4.94,3.81,37667.42,40,600,1
7.31,0.4,66.19,1.95,5.95,2231.49,107,600,1
8.19,0.42,67.52,2.34,5.26,3052.5,107,600,1
9.05,0.44,68.41,2.73,4.79,4149.03,107,600,1
9.07,0.44,67.79,2.7,4.9,3801.57,107,600,1
10.22,0.51,74.79,3.92,3.53,10546.44,107,600,1
10.49,0.55,78.89,4.54,2.98,22919.14,107,600,1
10.5,0.56,79.57,4.64,2.87,29905.85,107,600,1
9.92,0.49,72.58,3.53,3.81,8385.29,107,600,1
10.6,0.54,77.79,4.43,3.35,17736.13,185,600,1
10.07,0.49,74,3.67,3.84,5921.52,185,600,1
10.3,0.5,73.48,3.76,3.92,7127.89,185,600,1
10.34,0.49,70.02,3.57,4.54,6963.98,185,600,1
10.69,0.55,78.52,4.63,3.28,30280.68,185,600,1
10.81,0.57,78.25,4.78,3.3,43398.99,185,600,1
10.8,0.56,78.52,4.79,3.36,40954.09,185,600,1
10.07,0.46,67.79,3.17,5.13,6767.73,185,600,1
11,0.52,77.07,4.38,2.94,6082.77,340,600,1
11.14,0.52,76.8,4.47,3.25,7361.78,340,600,1
11.02,0.52,76.52,4.39,3.39,6969.22,340,600,1
10.94,0.51,75.3,4.24,3.5,6071.5,340,600,1
11.17,0.52,77.06,4.47,2.87,6445.34,340,600,1
11.22,0.52,76.83,4.52,3.28,7688.64,340,600,1
11.3,0.53,76.88,4.59,3.22,8717.94,340,600,1
11.09,0.52,76.74,4.44,3.3,7182.42,340,600,1
11.27,0.53,75.72,4.51,3.93,7624.36,475,600,1
11.2,0.52,74.75,4.4,4.19,7556.55,475,600,1
10.31,0.49,67.05,3.4,5.12,4535.57,475,600,1
6.93,0.3,56.54,1.18,8.1,796.13,475,600,1
12.11,0.55,77.16,5.15,3.78,15317.47,475,600,1
12.39,0.56,77.01,5.38,3.6,23966.02,475,600,1
12.09,0.55,77.58,5.17,3.63,14246.39,475,600,1
7.73,0.33,58.19,1.49,7.74,980.31,475,600,1
