Grain Size Number,Grain Size (microns),Longest Line Length (microns)
1,8.597366822344004,3.4619245297124115
2,10.681387827089399,3.6365037491017866
3,16.728945264648832,5.984501747512693
4,16.061772334974346,5.62131352063303
5,8.78056124969071,3.591014072747467
6,14.760685756354029,4.887283600270644
7,19.467276837255643,7.159495161211581
8,24.47723737201563,7.963864419122732
9,27.81530899395512,9.412080345730786
10,37.59708670597012,13.896820645709397
11,22.58706639139947,7.755061711414725
12,10.872116792580753,4.114685099259555
13,32.90868582950787,11.07605293349514
14,21.651075873765656,7.397131830068807
15,35.71886397681906,11.880398848619219
16,52.86876851358142,15.796100511423283
17,61.23461238725927,21.024343306927975
18,26.894387830659298,8.995007646139614
19,7.1773978339788504,2.3665284376318594
20,58.344138985154615,19.027943936372747
21,44.988731514590235,14.932089942177374
22,9.762673416185537,3.62644424504776
23,22.894470913135088,7.463880477231112
24,4.030969351071578,1.5068282668648665
25,8.263323277055619,2.9405043509897633
26,24.899110861905044,8.626965611358166
27,28.319684541584255,10.80377774930819
28,20.64765257689865,6.7397832928580605
29,41.86140740966318,13.294848751381508
30,52.5497941204138,18.289152960610267
31,29.978711092591684,10.947566601498481
32,18.3054696694465,5.6700915488052335
33,17.669349299705146,5.646252922233803
34,39.71124619821641,13.644292452729427
35,17.597502781874358,6.410708293170503
36,57.58198005387615,17.105903292117908
37,33.790105727504326,10.011180249692567
38,11.637775244680933,4.48459870146008
39,31.856933948128518,9.945140026261305
40,62.33781386123453,19.16098237349505
41,13.142453163244253,4.705666959004395
42,24.64627675127026,9.146343243946006
43,18.438128728292458,7.616492230962934
44,8.149768583551298,3.1307350569190553
45,29.788896319599054,10.533535164189802
46,7.818845995792178,3.1562122274070434
47,481.4077776402135,3.1562122274070434
