trianle_name,lenght
1,0.600
1,0.525
1,0.103
2,0.121
2,0.082
2,0.198
3,0.940
3,0.929
3,0.953
4,0.843
4,0.245
4,1.064
5,0.263
5,0.262
5,0.037
6,0.927
6,0.944
6,1.033
7,0.386
7,0.337
7,0.379
8,0.378
8,0.077
8,0.318
9,0.675
9,0.415
9,0.277
10,0.037
10,0.238
10,0.259
11,0.516
11,0.060
11,0.547
12,0.189
12,0.077
12,0.256
13,1.144
14,0.198
14,0.152
14,0.051
15,0.589
15,0.361
15,0.247
16,1.169
16,0.313
16,1.354
17,1.226
17,0.313
17,1.036
18,0.027
18,0.026
18,0.037
19,0.198
19,0.109
19,0.097
21,0.386
21,0.075
21,0.364
22,1.747
22,1.674
22,1.649
23,0.880
23,0.191
23,0.713
24,1.663
24,1.616
24,1.649
25,0.644
25,0.627
25,0.640
26,0.567
26,0.590
26,0.614
27,1.802
27,1.939
27,1.963
28,1.903
28,1.867
28,1.828
29,0.331
29,0.557
29,0.869
30,1.366
30,1.389
30,1.373
31,1.361
31,1.339
31,1.340
32,0.213
32,0.095
32,0.283
33,0.557
33,0.470
33,0.112
34,1.340
34,1.268
34,0.953
35,1.976
35,1.992
36,1.217
36,1.516
36,1.739
37,1.048
37,1.024
37,0.979
38,1.211
38,1.173
38,1.180
39,1.180
39,1.183
39,1.185
40,0.313
40,0.304
40,0.037
41,1.397
41,1.252
41,1.030
42,1.024
42,1.040
42,1.056
43,0.851
43,0.833
43,0.867
44,0.855
44,0.820
44,0.800
45,0.747
45,0.759
45,0.796
46,0.696
46,0.747
46,0.759
47,1.031
47,0.552
47,0.516
48,0.687
48,0.653
48,0.697
49,0.075
49,0.107
49,0.175
50,1.422
50,1.321
50,1.165
51,0.027
51,0.026
51,0.037
53,0.580
53,0.220
53,0.784
54,0.749
54,0.807
54,0.844
55,0.620
55,0.614
55,0.594
56,0.580
56,0.590
56,0.593
57,0.060
57,0.541
57,0.567
58,0.697
58,0.723
58,0.759
59,1.335
60,1.326
60,1.373
60,1.340
61,1.270
61,1.247
61,1.390
62,0.783
62,0.166
62,0.918
63,1.603
63,1.639
63,1.622
64,1.193
64,1.206
64,1.210
65,1.493
65,1.566
65,1.590
66,0.121
66,0.058
66,0.171
67,0.699
67,0.620
67,0.650
68,1.055
68,1.108
68,1.120
69,0.169
69,0.206
69,0.364
70,1.220
70,1.131
70,0.877
71,0.748
71,0.723
71,0.618
72,0.620
72,0.674
72,0.723
73,0.747
73,0.779
73,0.824
74,0.152
74,0.051
74,0.198
75,0.037
75,0.027
75,0.026
76,0.140
76,0.121
76,0.181
77,0.134
77,0.112
77,0.027
78,0.213
78,0.567
78,0.720
79,0.678
79,0.112
79,0.747
80,1.421
80,1.288
80,1.349
81,1.172
81,1.804
82,0.193
82,0.082
82,0.266
83,0.075
83,0.314
83,0.360
84,1.819
84,1.979
84,1.934
85,1.623
85,1.616
85,1.650
86,1.436
86,0.241
86,1.293
87,0.112
87,0.370
87,0.438
88,0.771
88,0.747
88,0.721
89,0.826
89,1.099
89,1.131
90,0.077
90,0.437
90,0.470
91,0.198
91,0.075
91,0.132
92,0.086
92,0.211
92,0.281
94,1.819
94,1.679
94,1.638
95,1.280
95,1.382
95,1.367
96,0.386
96,0.350
96,0.339
97,0.206
97,0.592
97,0.783
98,0.858
98,0.475
98,0.401
99,0.711
99,0.543
99,0.251
100,1.530
100,1.481
100,1.391
101,1.263
101,1.241
101,1.326
102,1.289
102,1.217
102,1.187
103,0.095
103,0.086
103,0.171
104,0.795
104,0.277
104,0.534
105,0.327
105,0.251
105,0.567
106,1.946
107,1.483
107,1.421
107,1.416
108,1.166
108,1.424
108,1.514
109,1.287
109,1.204
109,1.262
110,1.144
110,1.123
110,1.134
111,0.189
111,0.112
111,0.082
112,0.618
112,0.628
112,0.676
113,0.639
113,0.614
113,0.567
114,0.058
114,0.567
114,0.574
115,1.836
115,1.490
115,1.190
116,0.362
116,0.107
116,0.438
117,0.051
117,0.037
117,0.037
118,1.650
118,1.569
118,1.626
119,1.390
119,1.445
119,1.470
120,1.399
120,1.350
120,1.390
121,0.516
121,0.530
121,0.554
122,0.518
122,0.483
122,0.492
123,0.336
123,0.337
123,0.373
124,0.422
124,0.397
124,0.361
125,0.026
125,0.027
125,0.037
126,0.364
126,0.277
126,0.095
127,0.320
127,0.304
127,0.386
128,0.218
128,0.614
128,0.814
129,0.915
129,0.191
129,0.750
130,0.393
130,0.171
130,0.256
131,0.643
131,0.506
131,0.166
132,0.226
132,0.027
132,0.211
133,0.422
133,0.438
133,0.460
134,0.361
134,0.397
134,0.422
135,0.387
135,0.313
135,0.379
136,0.422
136,0.060
136,0.386
137,0.386
137,0.450
137,0.515
138,0.573
138,0.339
138,0.247
139,0.454
139,0.434
139,0.082
140,0.097
140,0.640
140,0.688
141,0.117
141,0.373
141,0.475
142,0.494
142,0.257
142,0.245
143,1.289
143,1.204
143,1.161
144,0.131
144,0.463
144,0.578
145,0.578
145,0.494
145,0.496
146,0.438
146,0.494
146,0.507
148,0.489
148,0.086
148,0.483
149,1.951
