Triangle,Max_Length
1,0.6
2,0.198
3,0.953
4,1.064
5,0.263
6,1.033
7,0.386
8,0.378
9,0.675
10,0.259
11,0.547
12,0.256
13,1.144
14,0.198
15,0.589
16,1.354
17,1.226
18,0.037
19,0.198
21,0.386
22,1.747
23,0.88
24,1.663
25,0.644
26,0.614
27,1.963
28,1.903
29,0.869
30,1.389
31,1.361
32,0.283
33,0.557
34,1.34
35,1.992
36,1.739
37,1.048
38,1.211
39,1.185
40,0.313
41,1.397
42,1.056
43,0.867
44,0.855
45,0.796
46,0.759
47,1.031
48,0.697
49,0.175
50,1.422
51,0.037
53,0.784
54,0.844
55,0.62
56,0.593
57,0.567
58,0.759
59,1.335
60,1.373
61,1.39
62,0.918
63,1.639
64,1.21
65,1.59
66,0.171
67,0.699
68,1.12
69,0.364
70,1.22
71,0.748
72,0.723
73,0.824
74,0.198
75,0.037
76,0.181
77,0.134
78,0.72
79,0.747
80,1.421
81,1.804
82,0.266
83,0.36
84,1.979
85,1.65
86,1.436
87,0.438
88,0.771
89,1.131
90,0.47
91,0.198
92,0.281
94,1.819
95,1.382
96,0.386
97,0.783
98,0.858
99,0.711
100,1.53
101,1.326
102,1.289
103,0.171
104,0.795
105,0.567
106,1.946
107,1.483
108,1.514
109,1.287
110,1.144
111,0.189
112,0.676
113,0.639
114,0.574
115,1.836
116,0.438
117,0.051
118,1.65
119,1.47
120,1.399
121,0.554
122,0.518
123,0.373
124,0.422
125,0.037
126,0.364
127,0.386
128,0.814
129,0.915
130,0.393
131,0.643
132,0.226
133,0.46
134,0.422
135,0.387
136,0.422
137,0.515
138,0.573
139,0.454
140,0.688
141,0.475
142,0.494
143,1.289
144,0.578
145,0.578
146,0.507
148,0.489
149,1.951
