Triangle,Max_Length,Defect_Formation_Time_Seconds
1,0.632,2052.0
2,1.362,957.0
3,1.254,1119.0
4,1.985,22.5
5,1.36,960.0
8,1.052,1422.0
9,1.962,57.0
10,1.992,12.0
11,1.685,472.5
12,1.631,553.5
13,1.107,1339.5
14,1.78,330.0
15,1.666,501.0
16,1.386,921.0
17,1.338,993.0
18,1.478,783.0
19,0.987,1519.5
20,1.909,136.5
21,1.961,58.5
22,1.953,70.5
23,1.605,592.5
25,1.761,358.5
26,1.117,1324.5
27,1.349,976.5
30,1.879,181.5
31,1.876,186.0
32,1.775,337.5
33,1.356,966.0
34,1.058,1413.0
35,1.123,1315.5
36,1.077,1384.5
37,0.055,2917.5
38,0.828,1758.0
39,1.782,327.0
40,1.759,361.5
41,1.915,127.5
42,1.926,111.0
