Jsc,Voc,FF,Efficiency,Sr,Sp,Temp,Class
5.43,0.21,34.01,0.39,22.5,52.7,550,5
11.97,0.47,58.01,3.28,14.57,2515.3,700,4
13.43,0.47,62.39,3.95,7.1,2596.76,650,3
10.6,0.41,56.24,2.42,11.11,766.0,550,3
10.76,0.45,56.47,2.75,16.36,2552.06,700,4
9.15,0.4,53.81,1.97,8.84,665.14,500,2
12.96,0.44,59.66,3.4,7.53,1582.25,600,3
10.24,0.4,53.67,2.2,12.84,697.65,550,3
6.24,0.1,27.54,0.17,12.46,4.62,450,4
14.63,0.51,69.54,5.23,3.66,12545.02,550,1
14.3,0.57,78.58,6.4,2.64,66796.54,600,1
12.37,0.49,67.38,4.09,5.96,3204.88,650,4
10.81,0.28,40.37,1.22,10.85,74.12,450,3
13.56,0.48,53.46,3.48,5.34,190.03,500,1
13.83,0.51,70.48,5.0,5.57,7309.23,550,2
6.29,0.22,36.25,0.49,19.43,87.58,500,5
14.66,0.51,45.25,3.38,31.27,2926.67,450,1
5.87,0.22,39.82,0.52,18.63,149.96,500,5
14.89,0.57,73.72,6.24,5.44,635832.7,650,1
5.29,0.34,55.55,1.0,11.9,637.28,550,4
14.98,0.55,65.97,5.41,4.81,8152.23,650,1
10.25,0.45,54.58,2.5,18.25,1966.84,700,4
13.08,0.43,55.2,3.08,8.52,1276.39,600,3
8.49,0.37,56.92,1.81,10.16,661.33,500,3
13.87,0.48,64.13,4.29,6.51,3238.56,650,3
13.59,0.51,70.42,4.88,5.19,6021.88,550,2
22.44,0.45,42.66,4.27,7.97,43.73,700,3
5.41,0.2,38.88,0.42,15.49,76.25,550,4
5.61,214.45,43.29,0.52,15.54,201.9,550,5
16.94,0.3,25.3,1.28,17.06,0.92,450,1
1.13,0.01,22.54,0.0,13.19,0.02,450,4
13.59,0.48,60.14,3.95,6.29,4001.04,550,2
13.78,0.52,69.1,4.97,3.02,1758.23,600,1
12.77,0.45,63.58,3.64,5.31,1878.89,650,3
13.57,0.51,71.51,4.92,3.94,5373.08,550,2
7.43,0.15,40.43,0.45,8.17,55.31,500,2
13.19,0.43,57.23,3.23,7.38,1402.14,600,3
14.33,0.54,75.79,5.91,4.09,77860.21,700,2
5.82,0.08,25.13,0.12,13.45,0.18,450,2
6.82,0.13,33.33,0.29,10.96,21.7,500,2
11.51,0.28,44.53,1.41,7.35,106.44,450,3
5.16,0.32,47.49,0.78,21.36,506.53,550,4
11.79,0.46,59.45,3.26,11.01,2669.23,700,3
13.94,0.52,72.7,5.26,4.57,8460.22,550,2
14.52,0.45,59.65,3.87,6.47,9716.24,450,1
12.98,0.43,39.48,2.19,9.13,74.67,650,4
13.13,0.52,71.92,4.9,5.28,7083.52,700,2
13.72,0.48,63.95,4.21,6.5,3086.54,650,3
12.63,0.5,68.04,4.28,12.12,3488.8,500,2
6.39,0.15,31.53,0.3,14.82,21.41,450,4
10.56,0.4,56.09,2.37,10.8,721.43,550,3
14.32,0.55,75.76,6.0,2.87,17605.99,600,1
5.61,0.21,41.14,0.49,17.2,165.88,550,5
12.94,0.44,59.19,3.39,7.65,1691.95,600,3
10.77,0.28,48.31,1.43,6.28,158.69,450,3
5.62,0.22,43.44,0.53,15.41,204.0,550,5
14.36,0.57,78.34,6.41,2.72,104744.9,600,1
10.66,0.28,36.04,1.07,16.24,56.14,450,3
13.17,0.44,60.87,3.54,6.69,1762.5,600,3
5.1,0.22,33.13,0.36,27.08,59.71,500,5
10.85,0.28,42.83,1.29,8.81,91.59,450,3
13.04,0.43,57.38,3.21,7.49,1372.89,600,3
6.05,0.13,26.13,0.21,20.31,3.8,450,2
13.77,0.48,67.14,4.39,4.5,6129.2,500,1
14.49,0.57,78.71,6.55,2.52,42574.2,600,1
14.0,0.51,65.49,4.69,4.61,4089.75,500,1
10.4,0.28,33.29,0.97,21.22,42.37,450,3
6.86,0.27,32.87,0.61,20.27,43.58,500,4
7.09,0.15,38.52,0.4,9.4,47.47,500,2
13.13,0.52,71.92,4.9,5.28,7083.52,450,5
14.99,0.57,72.9,6.21,3.95,28829.6,650,1
10.71,0.19,33.44,0.66,9.7,19.37,450,3
13.67,0.52,76.35,5.46,3.28,9004.15,450,5
14.78,0.52,69.0,5.25,3.69,60393.21,550,1
4.63,0.11,32.9,0.16,13.33,21.44,500,4
12.68,0.5,56.15,3.58,7.36,189.2,600,2
4.85,0.31,52.42,0.79,17.6,563.26,500,4
12.04,0.47,60.58,3.43,10.05,2590.3,700,3
