Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
64.58,0.0517,5
37.31,0.0719,3
39.31,0.0135,4
30.89,0.4392,1
39.6,0.0102,2
45.49,0.0054,1
39.06,0.0769,3
37.14,0.0044,1
17.71,27.5,1
42.27,0.1127,3
26.92,0.7857,3
13.75,139.6111,2
34.98,0.0284,3
43.43,0.1121,3
21.16,0.8115,2
67.09,0.0659,5
63.39,0.0906,4
20.19,0.731,2
48.23,0.002,1
38.41,0.0043,1
43.72,0.0809,2
46.56,0.1602,5
46.43,0.0099,1
38.68,0.0758,3
39.94,0.0041,2
49.9,0.0071,1
26.71,1.6186,4
39.36,0.0012,1
65.22,0.0504,5
38.9,0.0049,5
84.34,3.094,4
19.06,1.5359,2
48.66,0.0125,1
35.0,0.024,3
46.62,0.0124,1
43.02,0.028,4
75.0,3.4085,4
61.57,0.1236,5
36.43,0.016,1
38226.38,0.2144,5
38.22,0.0037,1
32.87,0.0432,3
61.66,0.057,5
66.67,0.0751,4
45.68,0.01,1
57.14,0.0689,5
50.29,0.0798,5
37.58,0.0133,2
37.74,0.0393,1
38.07,0.008,2
64.03,0.1544,5
37.3,0.0086,2
38.03,0.0025,1
25.35,1.2942,4
39.13,0.0069,2
24.33,0.4184,3
21.49,6.8763,2
69.5,0.0728,4
36.51,0.0096,2
37.53,0.0117,2
34.86,0.0055,1
31.9,0.0114,1
41.82,0.0221,4
39.2,0.0116,2
43.14,0.5548,5
48.51,0.0178,1
53.48,0.074,5
36.88,0.0096,2
61.34,0.1371,5
56.42,0.1572,4
44.58,0.0131,1
33.95,0.0377,3
47.03,0.0099,1
51.28,0.0221,1
10.03,50.7143,2
36.72,0.0081,1
38.04,0.0085,5
50.94,0.0044,1
45.21,0.0892,5
32.51,0.4767,5
53.71,0.7849,4
46.68,0.0104,1
33.13,0.5287,4
47.25,0.0033,1
43.58,0.0861,3
34.61,0.0198,3
33.54,0.0342,3
37.04,0.0055,1
48.54,0.0103,1
34.86,0.011,1
8.85,1127.0,4
42.64,0.0288,4
37.8,0.0042,5
37.77,0.3235,5
35.24,0.0338,3
43.29,0.071,1
34.98,0.4139,5
37.68,0.001,2
32.6,0.0408,3
63.1,0.1782,5
37.87,0.0064,1
38.28,0.0001,1
17.74,1.7264,3
57.19,0.0659,5
42.41,0.6363,2
51.02,0.0844,5
47.39,0.0101,1
43.9,0.0278,4
34.99,0.0207,3
23.47,1.4727,4
39.2,0.0,1
47.29,0.0022,1
29.03,3.6196,1
54.72,0.0297,1
26.0,0.3044,3
58.08,0.0906,5
46.96,0.0844,5
33.41,0.0345,3
37.43,0.248,5
25.81,0.4676,3
35.32,0.015,2
32.98,0.0418,3
42.39,0.0164,1
39.69,0.0007,1
37.68,0.001,5
51.85,0.0019,1
21.25,13.8798,1
39.36,0.7542,4
37.8,0.0042,2
35.24,0.027,2
64.33,0.0539,5
45.42,0.005,1
23.76,1.5345,4
69.62,0.0545,5
63.92,0.0931,4
39.04,0.0234,3
47.99,0.0025,1
35.18,0.0011,1
35.82,0.0204,3
40.2,0.0021,2
46.35,0.01,1
35.4,0.2813,1
38.1,0.0786,3
47.53,0.0148,1
46.9,0.0088,1
41.86,0.0492,4
35.63,0.0217,3
48.28,0.0015,1
38.67,0.6454,5
43.48,0.0888,3
39.08,0.0244,3
39.97,0.0178,4
45.2,0.0032,1
64.45,0.0641,5
43.82,0.2663,5
31.73,0.0147,1
38.75,0.0196,3
30.99,0.0061,1
37.48,0.2655,5
49.4,0.0087,1
23.54,0.6839,3
26.36,3.802,2
68.63,8.2424,4
38.9,0.0049,2
21.93,0.8519,3
44.96,0.0998,5
18.81,16.4387,2
43.1,0.0313,3
38.33,0.0042,1
41.51,0.0487,4
47.41,0.0043,1
34.73,0.0194,3
66.8,0.0638,5
26.04,0.2711,3
38.08,0.0012,1
39.15,0.2129,5
57.89,0.0651,5
39.45,0.0214,2
40.85,0.0222,4
40.74,0.0391,4
27.37,0.0898,2
63.64,6.0934,4
39.48,0.0298,4
25.81,0.5351,3
43.53,0.0896,3
22.51,1.6755,4
39.81,0.0163,4
38.64,0.0059,2
44.0,0.1068,3
39.34,0.0018,1
65.67,0.0743,4
64.76,0.1647,5
38.04,0.0085,2
65.22,0.0501,5
47.27,0.0127,1
61.57,0.0514,5
47.55,0.0794,5
62.0,0.0931,4
42.69,0.0594,1
81.4,39.6508,4
15.87,0.0,4
37.81,0.0049,1
36.97,0.2722,5
35.71,0.3153,5
38.9,0.0128,1
18.12,3.3586,4
39.48,0.0249,3
46.89,0.0107,1
73.56,0.0552,5
37.21,0.097,3
31.69,0.0162,1
33.18,0.4169,5
65.98,0.0638,5
34.29,0.0676,1
38.04,0.0024,2
38.51,0.0024,1
48.19,0.0664,4
39.8,0.0169,4
48.62,0.0165,1
37.12,0.0091,2
62.39,0.0991,5
38.8,0.075,3
36.42,0.2928,5
3.69,623.75,4
31.46,1.593,2
64.08,0.0516,5
68.68,0.1028,2
