Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
5.11,0.33,55.15,0.92,14.01,1067.45,340,600,64.58,0.0517,5
10.99,0.41,54.65,2.45,12.53,759.68,40,550,37.31,0.0719,3
12.72,0.5,67.97,4.3,6.07,5026.15,40,650,39.31,0.0135,4
13.92,0.43,47.6,2.88,8.04,108.38,40,450,30.89,0.4392,1
13.13,0.52,71.92,4.9,5.28,7083.52,40,700,39.6,0.0102,2
12.09,0.55,77.58,5.17,3.63,14246.39,475,600,45.49,0.0054,1
10.24,0.4,53.67,2.2,12.84,697.65,40,550,39.06,0.0769,3
14.81,0.55,74.65,6.12,3.6,16942.57,40,650,37.14,0.0044,1
16.94,0.3,25.3,1.28,17.06,0.92,40,450,17.71,27.5,1
8.28,0.35,57.81,1.67,7.65,512.82,40,500,42.27,0.1127,3
10.4,0.28,33.29,0.97,21.22,42.37,40,450,26.92,0.7857,3
5.82,0.08,25.13,0.12,13.45,0.18,40,450,13.75,139.6111,2
13.15,0.46,62.97,3.79,5.54,2220.54,40,650,34.98,0.0284,3
8.29,0.36,57.45,1.73,8.58,512.3,40,500,43.43,0.1121,3
7.09,0.15,38.52,0.4,9.4,47.47,40,500,21.16,0.8115,2
4.77,0.32,54.13,0.83,13.66,821.83,107,600,67.09,0.0659,5
4.89,0.31,53.39,0.81,16.41,589.43,40,500,63.39,0.0906,4
7.43,0.15,40.43,0.45,8.17,55.31,40,500,20.19,0.731,2
11.61,0.56,76.39,4.94,3.81,37667.42,40,600,48.23,0.002,1
14.32,0.55,75.76,6.0,2.87,17605.99,40,600,38.41,0.0043,1
9.15,0.4,53.81,1.97,8.84,665.14,40,500,43.72,0.0809,2
4.94,0.23,44.47,0.51,18.15,277.65,40,600,46.56,0.1602,5
11.2,0.52,74.75,4.4,4.19,7556.55,475,600,46.43,0.0099,1
10.34,0.4,53.9,2.24,12.85,710.78,40,550,38.68,0.0758,3
13.77,0.55,77.13,5.81,3.57,18955.41,40,600,39.94,0.0041,2
10.22,0.51,74.79,3.92,3.53,10546.44,107,600,49.9,0.0071,1
