Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class
7.24,0.34,51.17,1.27,12.93,606.18,40,600,8
11.63,0.55,75.84,4.89,4.09,34005.0,40,600,7
5.61,214.45,43.29,0.52,15.54,201.9,40,550,5
5.41,0.2,38.88,0.42,15.49,76.25,40,550,4
14.81,0.55,74.65,6.12,3.6,16942.57,40,650,1
6.22,0.14,31.08,0.27,14.51,18.55,40,450,4
11.97,0.47,58.01,3.28,14.57,2515.3,40,700,4
10.66,0.28,36.04,1.07,16.24,56.14,40,450,3
13.09,0.38,26.64,1.33,24.77,7.36,40,700,1
13.11,0.42,53.17,2.96,9.55,1148.68,40,600,3
10.56,0.4,56.09,2.37,10.8,721.43,40,550,3
6.93,0.3,56.54,1.18,8.1,796.13,475,600,7
0.86,0.07,24.07,0.01,83.77,-9.64,40,450,4
4.47,0.32,54.9,0.79,14.1,1021.26,107,600,8
7.43,0.15,40.43,0.45,8.17,55.31,40,500,2
14.66,0.57,74.91,6.21,4.02,69234.36,40,700,2
10.69,0.55,78.52,4.63,3.28,30280.68,185,600,7
5.62,0.22,43.44,0.53,15.41,204.0,40,550,5
4.73,0.23,36.43,0.39,25.54,101.81,40,600,5
13.78,0.52,69.1,4.97,3.02,1758.23,40,600,1
11.3,0.53,76.88,4.59,3.22,8717.94,340,600,7
6.74,0.18,32.42,0.39,14.79,20.03,40,600,4
4.91,0.32,55.36,0.86,14.15,631.89,40,500,4
7.09,0.15,38.52,0.4,9.4,47.47,40,500,2
14.3,0.57,78.58,6.4,2.64,66796.54,40,600,1
14.39,0.55,68.13,5.41,3.88,18432.61,40,500,1
10.24,0.4,53.67,2.2,12.84,697.65,40,550,3
13.92,0.43,47.6,2.88,8.04,108.38,40,450,1
5.41,0.36,53.84,1.04,19.05,700.58,40,550,4
11.09,0.52,76.74,4.44,3.3,7182.42,340,600,7
13.77,0.55,77.13,5.81,3.57,18955.41,40,600,2
5.33,0.35,59.25,1.11,10.77,796.96,40,550,4
8.28,0.35,57.81,1.67,7.65,512.82,40,500,3
10.4,0.28,33.29,0.97,21.22,42.37,40,450,3
14.32,0.55,75.76,6.0,2.87,17605.99,40,600,1
10.22,0.51,74.79,3.92,3.53,10546.44,107,600,7
10.46,0.45,55.82,2.61,16.11,1992.21,40,700,4
4.86,0.31,54.79,0.83,14.62,613.31,40,500,4
9.28,0.56,77.05,3.98,3.87,54566.59,185,600,6
13.15,0.46,62.97,3.79,5.54,2220.54,40,650,3
8.29,0.36,57.45,1.73,8.58,512.3,40,500,3
12.68,0.5,56.15,3.58,7.36,189.2,40,600,2
14.48,0.57,78.21,6.45,2.81,65893.63,40,500,1
4.66,0.32,55.2,0.83,13.59,1014.84,107,600,8
4.89,0.31,53.39,0.81,16.41,589.43,40,500,4
12.61,0.5,70.18,4.41,8.11,3689.16,40,500,2
4.34,0.11,33.21,0.16,14.17,25.66,40,500,4
13.08,0.43,55.2,3.08,8.52,1276.39,40,600,3
13.16,0.2,39.07,1.05,7.61,43.01,40,700,1
14.63,0.51,69.54,5.23,3.66,12545.02,40,550,1
8.92,0.5,71.19,3.16,4.98,9544.94,185,600,6
5.38,0.33,50.44,0.89,15.71,367.92,475,600,8
10.34,0.4,53.9,2.24,12.85,710.78,40,550,3
13.13,0.52,71.92,4.9,5.28,7083.52,40,450,5
10.76,0.45,56.47,2.75,16.36,2552.06,40,700,4
13.13,0.52,71.92,4.9,5.28,7083.52,40,700,2
5.15,0.33,56.07,0.95,13.01,1085.77,340,600,8
12.72,0.5,67.97,4.3,6.07,5026.15,40,650,4
10.73,0.56,77.62,4.63,3.63,18988.08,475,600,6
6.46,0.21,35.35,0.48,19.44,74.16,40,500,5
10.3,0.5,73.48,3.76,3.92,7127.89,185,600,7
10.31,0.49,67.05,3.4,5.12,4535.57,475,600,7
5.07,0.33,55.53,0.93,13.56,1085.09,340,600,8
16.94,0.3,25.3,1.28,17.06,0.92,40,450,1
5.19,0.32,55.58,0.92,11.94,936.91,185,600,8
0.83,0.07,24.04,0.01,85.52,-7.77,40,450,4
14.99,0.57,72.9,6.21,3.95,28829.6,40,650,1
10.81,0.57,78.25,4.78,3.3,43398.99,185,600,7
14.89,0.38,55.77,3.2,6.28,2922.32,40,650,1
11.14,0.52,76.8,4.47,3.25,7361.78,340,600,7
10.23,0.28,49.6,1.43,8.54,552.07,40,600,2
13.43,0.47,62.39,3.95,7.1,2596.76,40,650,3
5.1,223.73,38.79,0.44,21.46,131.41,40,600,5
5.31,0.34,52.89,0.96,12.93,342.59,475,600,8
14.02,0.53,76.12,5.7,3.76,18075.18,40,450,5
6.82,0.13,33.33,0.29,10.96,21.7,40,500,2
14.98,0.55,65.97,5.41,4.81,8152.23,40,650,1
13.94,0.52,72.7,5.26,4.57,8460.22,40,550,2
5.34,0.33,56.2,0.98,11.51,1001.14,185,600,8
4.74,0.33,55.31,0.86,13.43,1014.91,107,600,8
5.63,0.33,55.23,1.01,11.41,854.42,185,600,8
11.44,0.51,75.68,4.42,3.46,5765.54,40,700,1
13.67,0.52,76.35,5.46,3.28,9004.15,40,450,5
11.51,0.28,44.53,1.41,7.35,106.44,40,450,3
13.97,0.51,71.93,5.18,4.41,7501.35,40,550,2
13.77,0.48,67.14,4.39,4.5,6129.2,40,500,1
14.14,0.55,71.02,5.52,5.1,14534.73,40,450,5
13.59,0.51,70.42,4.88,5.19,6021.88,40,550,2
9.29,0.54,74.35,3.75,5.89,22280.53,185,600,6
7.73,0.33,58.19,1.49,7.74,980.31,475,600,7
11.99,0.47,66.52,3.77,4.77,5742.96,40,600,2
5.14,0.29,43.86,0.65,26.52,279.09,40,550,4
12.96,0.44,59.66,3.4,7.53,1582.25,40,600,3
11.29,0.46,57.13,2.97,16.58,1462.58,40,600,4
11.22,0.52,76.83,4.52,3.28,7688.64,340,600,7
6.98,0.07,24.85,0.12,9.61,0.49,40,450,2
14.09,0.38,48.39,2.61,6.84,140.98,40,550,1
